,heading,src,summary,link,image
0,"""Your Silence Emboldens Hate-Filled Voices"": IIM Students, Staff To PM","NDTV News Desk   | Saturday January 08, 2022, New Delhi                                                        
                                                        ","In an open letter, a group of students and faculty members from the Indian Institute of Management requested Prime Minister Narendra Modi to speak up against hate speech and caste-based violence in the country.",https://www.ndtv.com/india-news/your-silence-emboldens-hate-filled-voices-iim-students-staff-to-pm-2696013,https://c.ndtvimg.com/2021-05/4bjhgeo8_pm-modi-ndtv-240_240x180_21_May_21.jpg
1,Foreign Funds Licence For Mother Teresa's Charity Restored,"
															Reported by Sunil Prabhu, Edited by Chandrashekar Srinivasan  | Saturday January 08, 2022, New Delhi                                                        
                                                        ","The FCRA licence for Mother Teresa's Missionaries of Charity was restored Saturday, according to an entry in the Foreign Contribution Regulation Act website, two weeks after the Home Ministry cited ""adverse inputs"" to refuse a renewal request.",https://www.ndtv.com/india-news/mother-teresa-missionaries-of-charity-foreign-funds-licence-for-mother-teresas-charity-restored-2695994,https://c.ndtvimg.com/2021-12/ub05812o_missionaries-of-charity-mother-teresa_120x90_27_December_21.jpg
2,Poll-Bound Uttarakhand Bans Political Rallies Till Jan 16,"Press Trust of India   | Saturday January 08, 2022, Dehradun                                                        
                                                        ","Political rallies, dharnas and demonstrations have been banned in poll-bound Uttarakhand till January 16 in view of the rising coronavirus cases",https://www.ndtv.com/india-news/poll-bound-u-khand-bans-political-rallies-till-jan-16-2695984,https://c.ndtvimg.com/2019-03/v8i51p98_bjp-generic_120x90_30_March_19.jpg
3,"1,41,986 Covid Cases In India Today, 21% Up From Yesterday, Positivity 9%","
															Reported by Parimal Kumar, Edited by Arun Nair  | Saturday January 08, 2022, New Delhi                                                        
                                                        ","India reported 1,41,986 new cases of COVID-19 on Saturday, a week after the country crossed the 10,000 mark, as the virus continued to spread at an unprecedented pace, largely driven by the Omicron variant now present in 27 states.",https://www.ndtv.com/india-news/1-41-986-fresh-covid-cases-in-india-21-higher-than-yesterday-positivity-9-28-2695945,https://c.ndtvimg.com/2022-01/tefdi56_-bengaluru-covid-testing-pti-240_240x180_03_January_22.jpg
4,"How Political Parties In UP Are Planning ""Digital Campaigns"" Amid Covid","
															Written by Alok Pandey  | Saturday January 08, 2022, New Delhi                                                        
                                                        ","With the Uttar Pradesh election just months away and the country grappling with the third wave of the Covid pandemic, political parties are set to rely on digital campaigns more than ever for the crucial state election in India's most populous state.",https://www.ndtv.com/india-news/up-assembly-elections-2022-how-political-parties-in-up-are-planning-digital-campaigns-amid-covid-2695940,https://c.ndtvimg.com/2022-01/qljue7d8_bjp-supporters-_120x90_08_January_22.jpg
5,Assam 3rd Wave May Peak Just When Local Body Polls Start This Month,"
															Written by Ratnadip Choudhury  | Saturday January 08, 2022, Guwahati                                                        
                                                        ","At a time when Assam has imposed fresh restrictions to contain the spread of coronavirus and warned that the third wave is expected to peak after January 20 in the state, the government announced local autonomous council elections.",https://www.ndtv.com/india-news/assam-covid-19-3rd-wave-may-peak-just-when-local-body-polls-start-this-month-2695925,https://c.ndtvimg.com/2020-03/bao90u5g_assam-coronavirus-pti-240_120x90_07_March_20.jpg
6,Over 50 Health Workers In Chennai Test Covid Positive,"
															Written by J Sam Daniel Stalin  | Saturday January 08, 2022, Chennai                                                        
                                                        ",More than 50 doctors and health workers at three main government medical college Covid hospitals in Tamil Nadu's Chennai have tested positive for COVID-19.,https://www.ndtv.com/india-news/over-50-health-workers-in-tamil-nadus-chennai-test-covid-19-positive-2695901,https://c.ndtvimg.com/2022-01/path2ai8_chennai-hospital_120x90_08_January_22.jpg
7,"4 Killed, 6 Injured In Road Accident In Bangalore","
															Reported by Nehal Kidwai, Edited by Arun Nair  | Saturday January 08, 2022, Bengaluru                                                        
                                                        ","At least four people, including two women, died in a collision between a truck and car in Bengaluru on Friday, the police said.",https://www.ndtv.com/bangalore-news/4-killed-6-injured-in-road-accident-in-bangalore-2695893,https://c.ndtvimg.com/2022-01/odqbkbk8_bengaluru-road-accidentjan-8_120x90_08_January_22.jpg
8,Punjab Chief Minister Channi Hits BJP With Quote From Sardar Patel,"
															Reported by Mohammad Ghazali, Edited by Anindita Sanyal  | Saturday January 08, 2022, New Delhi                                                        
                                                        ","Punjab Chief Minister Charanjit Singh Channi -- engaged in a huge political tussle with the BJP over Prime Minister Narendra Modi's security breach -- today hit back with a quote from Sardar Vallabhbhai Patel, a BJP icon.",https://www.ndtv.com/india-news/punjab-chief-minister-channi-hits-bjp-with-quote-from-sardar-patel-2695768,https://c.ndtvimg.com/2022-01/mm0mmc8s_charanjit-channi-240_120x90_05_January_22.jpg
9,Strong 6.6 Magnitude Earthquake Hits China's Qinghai Province,"Agence France-Presse   | Friday January 07, 2022, Beijing                                                        
                                                        ","A strong earthquake with a magnitude of 6.6 struck China's remote northwestern Qinghai province early Saturday, the US Geological Survey said.",https://www.ndtv.com/world-news/strong-6-6-magnitude-earthquake-hits-chinas-qinghai-province-2695754,https://i.ndtvimg.com/i/2017-09/earthquake-generic_240x180_41505899835.jpg
10,Covid Cases Top 300 Million Worldwide Since Pandemic Began,"Agence France-Presse   | Friday January 07, 2022, Paris                                                        
                                                        ","The total number of Covid-19 registered worldwide since the start of the pandemic topped 300 million on Friday, according to an AFP count based on official figures.",https://www.ndtv.com/world-news/covid-19-cases-top-300-million-worldwide-since-pandemic-began-2695747,https://c.ndtvimg.com/2022-01/cubudrn_us-omicron-afp-240_120x90_02_January_22.jpg
11,Punjab Chief Minister Must Be Sacked Over PM Security Row: Himanta Sarma,"Press Trust of India   | Friday January 07, 2022, Guwahati                                                        
                                                        ",Assam Chief Minister Himanta Biswa Sarma on Friday said the Congress should sack Punjab Chief Minister Charanjit Singh Channi over the security lapse during Prime Minister Narendra Modi's recent visit to Ferozepur.,https://www.ndtv.com/india-news/punjab-chief-minister-charanjit-singh-channi-must-be-sacked-by-congress-over-pm-security-row-himanta-sarma-2695716,https://c.ndtvimg.com/2021-07/4029vteg_himanta-biswa-sarma-twitter_120x90_13_July_21.jpg
12,Joe Biden Invited To Give State Of The Union Address On March 1,"Agence France-Presse   | Friday January 07, 2022, Washington                                                        
                                                        ","President Joe Biden was invited Friday to give the traditional State of the Union address on March 1, House Speaker Nancy Pelosi said.",https://www.ndtv.com/world-news/us-president-joe-biden-invited-to-give-state-of-the-union-address-on-march-1-2695742,https://c.ndtvimg.com/2022-01/lsnaetto_joe-biden-afp-240_120x90_06_January_22.jpg
13,"In Chhattisgarh Village, People Take Oath To Boycott Muslims","
															Written by Anurag Dwary  | Friday January 07, 2022, Bhopal                                                        
                                                        ",A video from a Chhattisgarh village is being widely circulated where villagers can be seen taking a pledge to boycott Muslims.,https://www.ndtv.com/india-news/in-chhattisgarh-village-people-take-oath-to-boycott-muslims-2695736,https://c.ndtvimg.com/2022-01/muke2dvg_chhattisgarh-oath-_120x90_07_January_22.jpg
14,"Shut Salons Of Hairstylist Jawed Habib, BJP MLA Asks Indore Administration","Press Trust of India   | Friday January 07, 2022, Bhopal/Indore                                                        
                                                        ",Madhya Pradesh BJP MLA Akash Vijayvargiya on Friday asked the administration in Indore city to get outlets of popular hairstylist Jawed Habib shut in 48 hours or else he would launch an agitation.,https://www.ndtv.com/india-news/shut-salons-of-hairstylist-jawed-habib-madhya-pradesh-bjp-mla-akash-vijayvargiya-asks-indore-administration-2695735,https://c.ndtvimg.com/2022-01/qdq8cd08_jawed-habib-new-video_120x90_07_January_22.jpg
